DIM2,Kuu,DIM3,Näitaja,DIM4,Kahjukindlustusliik,DIM5,Kahjukindlustusandja,TIME,Vaatlusperiood,Value,Flag Codes,Flags
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2013,2013,13581.793,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2014,2014,15764.372,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2015,2015,14165.472,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2016,2016,18334.914,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2017,2017,21304.835,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,4,Codan Forsikring A/S Eesti,2010,2010,7306.69922,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,4,Codan Forsikring A/S Eesti,2011,2011,12133.956,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,4,Codan Forsikring A/S Eesti,2012,2012,24936.661,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,4,Codan Forsikring A/S Eesti,2013,2013,30882.359,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,4,Codan Forsikring A/S Eesti,2014,2014,26911.301,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2010,2010,445.65593,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2011,2011,793.5,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2012,2012,1249.224,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2013,2013,1643.27,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2014,2014,1938.328,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2015,2015,2113.95,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2016,2016,2116.567,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,5,D.A.S. Õigusabikulude Kindlustuse AS,2017,2017,1579.89,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2010,2010,197.03961,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2011,2011,182.2,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2012,2012,118.608,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2013,2013,147.829,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2014,2014,157.472,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2015,2015,181.412,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2016,2016,708.844,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,6,Eesti Liikluskindlustuse Fond,2017,2017,962.465,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2010,2010,42665.24357,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2011,2011,38558.4,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2012,2012,41506.318,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2013,2013,40163.508,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2014,2014,41363.891,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2015,2015,45930.024,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2016,2016,49992.833,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,7,ERGO Insurance SE,2017,2017,55842.716,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,8,Euler Hermes Kreditversicherungs-Aktiengesellschaft in Estonia,2010,2010,160.48215,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2010,2010,34524.68907,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2011,2011,32305.5,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2012,2012,32752.45,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2013,2013,34954.924,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2014,2014,38776.045,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2015,2015,42730.676,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2016,2016,47407.151,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,10,Swedbank P&C Insurance AS,2017,2017,55282.985,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2010,2010,59543.79865,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2011,2011,62456.1,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2012,2012,62933.818,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2013,2013,63624.721,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2014,2014,67401.518,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2015,2015,74681.824,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2016,2016,69937.784,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,11,If P&C Insurance AS,2017,2017,72104.939,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2010,2010,4227.37208,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2011,2011,7086.9,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2012,2012,6173.852,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2013,2013,6141.359,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2014,2014,3287.284,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2015,2015,2315.036,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2016,2016,5801.108,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,12,AS Inges Kindlustus,2017,2017,6245.693,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2010,2010,199.78781,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2011,2011,1487.4,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2012,2012,1463.671,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2013,2013,1669.421,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2014,2014,2196.245,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2015,2015,1425.641,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2016,2016,1489.745,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,13,Kredex Krediidikindlustus AS,2017,2017,1761.394,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,14,QBE Insurance (Europe) Limited in Estonia,2010,2010,5272.77492,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,14,QBE Insurance (Europe) Limited in Estonia,2011,2011,4599.3,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,14,QBE Insurance (Europe) Limited in Estonia,2012,2012,967.259,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2010,2010,16481.28028,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2011,2011,15233.7,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2012,2012,15552.25,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2013,2013,15550.052,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2014,2014,16592.834,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2015,2015,19113.942,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2016,2016,19539.034,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,16,Salva Kindlustuse AS,2017,2017,20585.099,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2010,2010,29757.39138,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2011,2011,24675.9,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2012,2012,23728.352,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2013,2013,26268.285,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2014,2014,27049.996,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2015,2015,28297.583,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2016,2016,29271.366,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,17,Seesam Insurance AS,2017,2017,32165.234,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,18,AB Lietuvos draudimas Eesti filiaal,2013,2013,332.421,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,18,AB Lietuvos draudimas Eesti filiaal,2014,2014,10901.98,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,18,AB Lietuvos draudimas Eesti filiaal,2015,2015,38574.903,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,18,AB Lietuvos draudimas Eesti filiaal,2016,2016,43699.02,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,18,AB Lietuvos draudimas Eesti filiaal,2017,2017,52336.506,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,19,Compensa Vienna Insurance Group UADB Eesti filiaal,2016,2016,3867.605,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,19,Compensa Vienna Insurance Group UADB Eesti filiaal,2017,2017,6316.612,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2010,2010,61483.77283,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2011,2011,60836.447,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2012,2012,61953.216,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2013,2013,63718.127,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2014,2014,66427.129,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2015,2015,71021.314,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2016,2016,79003.971,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,1,Kahjukindlustusandjad kokku,2017,2017,93055.02,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2010,2010,3198.77801,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2011,2011,2790.1,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2012,2012,2457.286,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2013,2013,4666.078,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2014,2014,4410.228,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2015,2015,5064.358,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2016,2016,5157.674,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2017,2017,4444.582,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2010,2010,2958.08674,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2011,2011,2594.1,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2012,2012,4055.441,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2013,2013,4391.449,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2014,2014,5973.326,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2015,2015,3380.916,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2016,2016,5292.043,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,3,AAS BTA Baltic Insurance Company Eesti filiaal,2017,2017,5986.746,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,4,Codan Forsikring A/S Eesti,2010,2010,1495.14911,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,4,Codan Forsikring A/S Eesti,2011,2011,1970.247,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,4,Codan Forsikring A/S Eesti,2012,2012,5024.227,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,4,Codan Forsikring A/S Eesti,2013,2013,6561.165,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,4,Codan Forsikring A/S Eesti,2014,2014,4532.821,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2010,2010,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2011,2011,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2012,2012,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2013,2013,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2014,2014,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2015,2015,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2016,2016,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,5,D.A.S. Õigusabikulude Kindlustuse AS,2017,2017,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2010,2010,197.03961,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2011,2011,182.2,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2012,2012,101.084,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2013,2013,147.829,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2014,2014,157.472,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2015,2015,181.412,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2016,2016,708.844,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,6,Eesti Liikluskindlustuse Fond,2017,2017,962.465,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2010,2010,12059.74461,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2011,2011,11398.6,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2012,2012,13520.918,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2013,2013,11856.881,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2014,2014,12715.659,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2015,2015,15780.037,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2016,2016,17351.825,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,7,ERGO Insurance SE,2017,2017,20965.338,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,8,Euler Hermes Kreditversicherungs-Aktiengesellschaft in Estonia,2010,2010,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2010,2010,4115.07931,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2011,2011,3991.2,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2012,2012,4065.384,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2013,2013,4299.583,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2014,2014,4676.692,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2015,2015,4878.464,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2016,2016,5524.286,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,10,Swedbank P&C Insurance AS,2017,2017,7533.487,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,11,If P&C Insurance AS,2010,2010,17457.78636,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,11,If P&C Insurance AS,2011,2011,18722.3,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,11,If P&C Insurance AS,2012,2012,16910.617,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,11,If P&C Insurance AS,2013,2013,15849.897,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,11,If P&C Insurance AS,2014,2014,16472.93,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,11,If P&C Insurance AS,2015,2015,18980.156,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Liikluskindlustus,11,If P&C Insurance AS,2016,2016,15842.31,,
