DIM2,Kuu,DIM3,Näitaja,DIM4,Elukindlustusliik,DIM5,Elukindlustusandja,TIME,Vaatlusperiood,Value,Flag Codes,Flags
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2016,2016,19673.996,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2017,2017,19151.894,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2010,2010,17595.38814,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2011,2011,17760.1,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2012,2012,18356.355,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2013,2013,18749.293,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2014,2014,18809.417,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2015,2015,20571.052,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2016,2016,21289.754,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,6,SEB Elu- ja Pensionikindlustuse AS,2017,2017,23223.29,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,7,Ergo Life Insurance SE Eesti filiaal,2011,2011,4863.6,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,7,Ergo Life Insurance SE Eesti filiaal,2012,2012,4657.84,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,7,Ergo Life Insurance SE Eesti filiaal,2013,2013,5197.439,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,7,Ergo Life Insurance SE Eesti filiaal,2014,2014,6191.312,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,7,Ergo Life Insurance SE Eesti filiaal,2015,2015,6853.752,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,7,Ergo Life Insurance SE Eesti filiaal,2016,2016,5995.053,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,7,Ergo Life Insurance SE Eesti filiaal,2017,2017,5208.888,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2010,2010,6891.52915,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2011,2011,7249.1,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2012,2012,7996.939,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2013,2013,8579.018,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2014,2014,10276.754,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2015,2015,12105.213,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2016,2016,14423.922,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,1,Elukindlustusandjad kokku,2017,2017,16521.642,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,2,Ergo Elukindlustuse AS,2010,2010,141.75604,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2010,2010,4446.52512,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2011,2011,4476.4,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2012,2012,4986.034,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2013,2013,5433.541,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2014,2014,6253.251,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2015,2015,7599.729,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2016,2016,9190.121,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,3,Swedbank Life Insurance SE,2017,2017,10574.248,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2010,2010,377.33437,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2011,2011,347.7,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2012,2012,331.978,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2013,2013,345.127,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2014,2014,391.189,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2015,2015,429.301,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2016,2016,457.849,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,4,Mandatum Life Insurance Baltic SE,2017,2017,450.207,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2010,2010,376.24787,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2011,2011,404.3,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2012,2012,381.253,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2013,2013,375.584,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2014,2014,392.064,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2015,2015,358.22,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2016,2016,375.585,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,5,Compensa Life Vienna Insurance Group SE,2017,2017,383.231,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2010,2010,1549.66574,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2011,2011,1827.7,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2012,2012,2025.995,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2013,2013,2141.915,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2014,2014,2847.602,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2015,2015,3245.449,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2016,2016,3746.986,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2017,2017,4296.531,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,7,Ergo Life Insurance SE Eesti filiaal,2011,2011,193,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,7,Ergo Life Insurance SE Eesti filiaal,2012,2012,271.679,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,7,Ergo Life Insurance SE Eesti filiaal,2013,2013,282.851,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,7,Ergo Life Insurance SE Eesti filiaal,2014,2014,392.648,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,7,Ergo Life Insurance SE Eesti filiaal,2015,2015,472.514,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,7,Ergo Life Insurance SE Eesti filiaal,2016,2016,653.381,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,2,Surmajuhtumikindlustus,7,Ergo Life Insurance SE Eesti filiaal,2017,2017,817.425,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2010,2010,23689.29991,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2011,2011,19332.1,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2012,2012,18170.997,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2013,2013,17070.233,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2014,2014,16194.089,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2015,2015,15235.627,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2016,2016,14280.347,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2017,2017,13114.651,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,2,Ergo Elukindlustuse AS,2010,2010,2124.03973,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2010,2010,9674.94536,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2011,2011,6475.4,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2012,2012,5954.81,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2013,2013,5429.883,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2014,2014,4964.68,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2015,2015,4563.113,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2016,2016,4270.172,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2017,2017,3931.714,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2010,2010,1303.03069,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2011,2011,1216.8,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2012,2012,1125.534,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2013,2013,1033.154,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2014,2014,950.566,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2015,2015,868.213,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2016,2016,790.084,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2017,2017,706.21,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2010,2010,683.53508,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2011,2011,680.4,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2012,2012,784.201,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2013,2013,778.872,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2014,2014,790.569,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2015,2015,775.377,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2016,2016,781.636,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2017,2017,687.39,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2010,2010,9903.74906,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2011,2011,8893.2,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2012,2012,8349.681,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2013,2013,7947.038,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2014,2014,7689.61,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2015,2015,7368.761,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2016,2016,6881.804,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,6,SEB Elu- ja Pensionikindlustuse AS,2017,2017,6362.328,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,7,Ergo Life Insurance SE Eesti filiaal,2011,2011,2066.3,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,7,Ergo Life Insurance SE Eesti filiaal,2012,2012,1956.771,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,7,Ergo Life Insurance SE Eesti filiaal,2013,2013,1881.286,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,7,Ergo Life Insurance SE Eesti filiaal,2014,2014,1798.664,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,7,Ergo Life Insurance SE Eesti filiaal,2015,2015,1660.163,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,7,Ergo Life Insurance SE Eesti filiaal,2016,2016,1556.651,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,3,Kapitalikogumiskindlustus,7,Ergo Life Insurance SE Eesti filiaal,2017,2017,1427.009,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2010,2010,14462.69477,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2011,2011,10645.7,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2012,2012,9867.497,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2013,2013,9247.013,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2014,2014,8681.874,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2015,2015,8110.238,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2016,2016,7678.456,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,1,Elukindlustusandjad kokku,2017,2017,7161.819,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,2,Ergo Elukindlustuse AS,2010,2010,1082.40768,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2010,2010,7019.92765,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2011,2011,4143.3,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2012,2012,3902.711,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2013,2013,3634.251,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2014,2014,3395.903,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2015,2015,3182.916,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2016,2016,3054.594,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,3,Swedbank Life Insurance SE,2017,2017,2870.271,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2010,2010,772.30836,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2011,2011,726.6,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2012,2012,674.028,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2013,2013,620.072,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2014,2014,569.7,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2015,2015,516.217,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2016,2016,472.263,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,4,Mandatum Life Insurance Baltic SE,2017,2017,429.472,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2010,2010,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2011,2011,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2012,2012,0,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,4,..tulumaksusoodustusega kapitalikogumiskindlustus,5,Compensa Life Vienna Insurance Group SE,2013,2013,0,,
